teff,ra_x,dec_x,parallax,pmra,pmdec,g_mag,b_mag,r_mag,br_col,L,B
5623.87,223.33062422969,7.05448280247,2.4861,-4.28,7.933,12.14451,12.529799,11.616933,0.385289,3.778567740313,54.8115444829869
6333.48,140.24505195705,35.75254749544,3.2901,0.772,-16.478,10.766111,11.03641,10.360079,0.270299,188.324999324611,44.826998302693
6084.5,165.41924438197,-3.81408782229,5.0995,3.913,3.453,9.145651,9.390592,8.794893,0.244940999999999,258.129643405491,49.2685418321765
6275.38,152.74891769184,13.39196037812,1.3997,0.539,-16.474,12.474404,12.751505,12.045815,0.277101,224.923565710002,50.1538691977147
4731.7,286.36065929371,40.7260078131,0.4794,3.437,-4.963,12.457597,13.071227,11.727397,0.613630000000001,71.435748698114,14.8514656152699
4729.005,11.05502355315,19.13560898275,0.6115,0.569,-2.65,12.942901,13.519921,12.240554,0.577019999999999,120.573528929999,-43.7030868037553
6488.12,253.52274410857,14.7906163669,1.5274,6.763,-14.185,11.550717,11.820822,11.141199,0.270104999999999,33.6932093189488,32.5476511112292
4728.31,354.70053367515,25.7663387388,0.2094,-3.724,-4.808,14.083366,14.671695,13.364863,0.588329,103.072965099689,-34.2888355125651
7056.83,313.41140500741,28.91756076492,0.2325,1.578,-3.292,15.402003,15.64547,15.000957,0.243466999999999,72.9644875265942,-10.1077557749977
5247.81,74.99528755532,24.70106667175,2.4824,-7.83,5.818,12.306145,13.021485,11.492257,0.715339999999999,177.781668151754,-10.7982784620199
6235.57,66.61682093071,38.72603422259,1.6506,-0.466,0.882,13.870084,14.492003,13.116959,0.621919,162.292294857876,-7.1937319204179
5644.31,172.78932869573,24.3439827334,1.0927,-5.635,0.206,14.596209,14.955517,14.081309,0.359308,217.202436338611,71.7279885217483
4809.718,288.9249318697,26.77868891783,0.2037,-1.929,-2.871,14.991202,15.738957,14.141089,0.747755,59.502976400352,6.97791713571381
5678.88,288.50978668955,50.33380655626,2.4242,-1.22,-10.031,11.609885,11.867297,11.20355,0.257412,81.2639077372018,17.1619203380375
6415.65,137.33396039546,6.35630180404,2.0155,-19.055,6.474,12.034735,12.274531,11.650164,0.239796,223.846226969158,33.4461932704954
7470.98,90.02660554987,17.18030823297,0.8105,0.496,-0.543,14.042762,14.351649,13.57789,0.308887,191.821174253535,-3.10493891928232
6377.67,16.31316362022,38.37558320703,0.9387,-1.051,-0.774,13.805742,14.078306,13.379725,0.272563999999999,125.904928562927,-24.4164069487244
4859.22,20.96545584561,16.8585075652,1.5208,5.933,-8.895,15.517781,16.129215,14.780939,0.611433999999999,133.995630250507,-45.3155675742345
4522.7,350.96574078513,-29.52945927882,0.5268,-3.217,-10.477,10.857675,11.489598,10.129305,0.631923,20.6706438164536,-70.6083897945738
5745.92,42.0110553928,49.2803878349,1.2867,-2.241,1.712,14.813737,15.265131,14.202228,0.451394000000001,141.715979345558,-9.29133211185829
